label,sentence
neutral,त्यो आलु किन्दा आलुको भाउ कति छ भन्नु हुन्छ नि हो त्यहि हो भाउ भनेको 😂😂😂
negative,ठूला गाडी हाल्नपनि दिँदैनन् 
positive, बिजेताको नाम         …
neutral,त…
neutral,यसको जिम्मेवार को
positive,अरुकुरा हरु ठिकै लाग्यो एकिकृत समाजबादि पार्टी नेपालको
positive,         '   . '                    
positive,"      '       .   ,     , ,             ,  ,  ."
neutral,      
positive,अनिवार्य भिषा प्रणालि लागु गरियो…
negative,"  अति नै गर्यो बैंकहरुले पनि,"
positive,ऋषिकेस तिर गएर ध्यान गरेर बस्नु अब
neutral,  
positive,    व्यवसायीको दादागिरी कम गर्न सातै प्रदेशमा प्लान्ट खोल्ने तयारी   
negative,"उहाँको सवारीका कारण जनताले दुख पाएको पनि यथार्थ हो तर आक्रोसका नाममा ""राँडी"" ""फ…"
negative,"२० बर्षअघि यिनी जनसेवामा इन्स्पेक्टर थिएसुन लुटपाटमा संलग्न देखिएको अभियोगमा निलम्बनमा परेका थिए ,  मा पोष्ट भएको"
positive,"   ए अँ सागर बोरो श्रोत खोलेर पोस्टम फेरि, जे भए नि मेरो ग्रुपको बोरो हो माया लाग्छ बाई 😊😊अनि थ्याङ्क यू साजन पाल्पाली मिठो सुझावको लागि 😊💐"
neutral,वडा
neutral,रास्ट्रपतिले पनि मेरो सरकार भन्न पाउनु पर्छ र जनताले पनि मेरो सरकार भन्न पाउँछन् 
neutral,"शब्दमा धेरै अलमलिनु ठिक त हैन, तर ""मेरो सरकार"" भन्ने प्रचलन गणतन्त्र आएपछि हटेको थियो, अहिले फेरि प्रयोग कुन मनोविज्ञान र  कसले के प्रयोजनमा प्रयोग गर्‍यो भन्ने हो "
negative, आफ्नो काम धन्दा व्यवहार पनि चलाउनु पर्ने छसमय अभाव हुदा हुदै ताल मेल मिलाउनु पर्ने छट्विटरमा सक्रियता घटाउँदै गएको छु आजका…
neutral,   के भन्छन् 
neutral,राष्ट्रपतिलाई दैनिक रुपमा…
neutral,आम…
negative,निजी विद्यालयमा लुट उपशीर्षक बनाएर अतिरिक्त शुल्क असुली  
negative," ✍️✍️सडक पेटिमै दिन रात बिताईन कहिल्यै नब्युँझिने गरि निदाईन वास्ता गरेनन् छोराले अामालाई,जस्ले जन्म दिई चल्न सिकाई…"
negative,तपैंले झुण्डिएर मर्ने कुरा गर्न सुहाउँदैन
negative,झुण्डिएर मर्ने त उनिहरूलाई बनाउनु…
neutral,"उनले भनिन्, ‘प्रमुख जिल्ला अधिकारी भन्नासाथ पुरुष त्यसमा पनि अलि कडा स्वभाव र जुङा भएको पुरुष मात्रै हुन्छन् भन्ने सोचाई अधिकांश मानिसमा छ ’ “"
negative, आजकल त कसै सँग गहिरो कुराहरू गर्न पनि डर लाग्छ 
negative,जलविद्युत् आयोजनाको हब बन्दै गएको लमजुङमा नियमित रूपमा विद्युत् नआउँदा उपभोक्ता मारमा परेका छन् 
negative,"‘न्याय माग्दा नालामा फालिदिन्छु भन्ने धम्की दिए, प्रहरी उजुरी लिन मान्दैन’"
neutral, न्याय खोज्न जानी गोर्खै हो
negative,के हाम्रो सरकार यति कमजोर छ
negative,"सत्ता हत्याउन आन्दोलन गर्नुपर्ने,कसैलाई पदबाट हटाउन आन्दोलन गर्नुपर्ने, न्याय पाउन आन्दोलन गर्नुपर्नेहुँदा हुँदा बिकास गर्दे न, धेरै धुलो र हिलो भयो बाटो पिच गर्दे न भनेर पनि आन्दोलननै गर्नपर्ने जनतालाई त पुरै आन्दोलनकारीनै बनाएरै छाड्ने भयो तह र तप्कामा बसेका ठुलाहरूले"
negative,नक्कलि सरकार न हो शेरेले त्यो पनि नछोड्ने भएसी उता रामचन्द्रे बुढालाई जिवनमा कहिल्यै माथी जाने बाटो खुल्नी नभएपछी उनैलाई नक्कलि सरकारको प्रमुख बनाइ दिएको भए मर्नि बेलातिर भापनी कस्तो हुँदोरछ भनेर महशुस गरेर त जान्थे हार्‍या भएपनीशेरेलाई माथी गएर पनि सरापेरै बिताउने भए बुढाले 
negative, तपाइलाइ टुइटर चलाउन सिकाउने गुरु अर्थात् तपाइको जिन्दगि बर्बाद पार्न प्रमुख भुमिका खेल्ने ब्यक्ती को हो😂😆
neutral,कल्पना पनि गर्न हुन्न
negative,श्रीमती राष्ट्रपति हुँदा पनि मदन भण्डारीले पाएनन् न्याय
neutral,पुरै आफै अख्तियार प्रमुख जस्तो लजिक हान्…
neutral," सूचना 😂😂""लुट्न सके लुट कान्छा"" शीर्षकमा चलचित्र बन्दै छविभिन्न केट्गोरिमा कलाकार आवस्यक भेकाले दर्खास्त आह्वान गरिन्छयो…"
negative,"  मा पनि अब एउटा हस्पिटल खोल्न मन छ , दिल टुटेका र फुटेका मात्र भेटिन्छ 😂"
negative,घमण्ड र इगोहरु😏 प्रमुख अतिथि 
negative,यदि दिपक नै पीडित हुन् भने के उनले न्याय नपाउने 
positive, एउटा विकास आयोजना हुन्छ 
positive,बिगत ३ वर्ष देखि भरतपुर एरियामा हरेक सोमवार बिहान ७-८बजेसम्म नियमित सरसफाई गर्छ  अरुको घर अगाडि अरूले फालेको फोहर टिप्ने हिम्मत जुटाउनुस तपाईको नी संगै फ़ोटो खिचौला
positive, म टुइटरमा नयाँ छु फलो गरेर सहयोग गरिदिनुस फलो ब्याक पक्कालौ त सहयोग गर्दिनुपर्यो …
positive,मर्नै हुन्न
positive,समाजमा द्वन्द्वको व्यवस्थापन गरी दिगो शान्ति स्थापना गर्न शान्तिका प्रतीक गौतमबुद्धको सालिक निर्माण गरिएको प्रमुख ओलीको भनाइ छ
positive, सांसदलाई हचुुवा योजना र कनिका जस्तो बजेट बाँड्ने कुरा सर्वथा गलत हो
positive,"वृद्धिदर र उच्च समानता, सामाजिक न्याय सँगसँगै जान चाहन्छ कि चाहँदैनरु जान सक्छ कि सक्दैन —प्रदीप गिरि"
negative,अहिले कलम घुमाएर खतरनाक तरिकाले लुटिंदै छ 
positive, केपी अोलीको खास मान्छे भनिएका प्रमुख निर्वाचन अायुक्त दिनेश थपलियाले कांग्रेस नेता प्रकाशमान सिंहसँग अाशिर्वाद लिन पुगेछ…
negative, तिमी फेक रैछ्यौ आज थाहा भो तर मैले गरेको माया फेक थिएन र छैन 😍😍अब मेरो माया समलिङ्गी हुन गयो न्याय दे सरकार
neutral,सुशासनको…
negative,  सरकार देखी अर्थतन्त्र अनी सप्पै खालका समयन्त्र बिचौलीयाले घेरीयका छन न्याय दिने प्रसासन अनी अख्तियार पा…
negative, भ्रष्ट नेताहरु रहे सम्म देश कहिल्यै बन्दैन यो प्रस्ट छ आज हाम्रो प्रमुख चुनौती राज्यको ढुकुटी चुहावट रोक्नु पनि हो संसार…
negative, कुलमानको फरक रुपत्रिशूली ‘बी’ हब स्टेशनको निर्माण नियतबस रोकिएको खबर पाएपछि नुवाकोट पैरबेसी पुगेका नेपाल विद्युत प्राधिकरण…
positive,उक्त अवार्ड हासिल गर्न भाइलाई सफलता मिलोस शुभकामना 
positive,उनिहरु प्रति हार्दिक श्रद्धाञ्जली 💐देशले यस्तै साहसी नेतृत्व प्राप्त गरोस् कामना
positive,मोटाउने इच्छा छ 
neutral, डियर कुलमान
negative," हिजो मातृसत्ता थियो कि थिएन भन्ने प्रमुख चासो हो, प्रमुख मुद्दा होइन "
negative,
positive," समृद्ध नेपाल, सुखी नेपालीको राष्ट्रिय आकांक्षा पूरा गर्ने प्रमुख आधार हरेक नागरिकका लागि सूचना प्रविधिमा पहुँच सुनिश्चित ग…"
positive,यो विषयमा विद्वान अर्थमन्त्रीले न्याय गर्नु हुनेछ भ…
negative,"बिकास, शिक्षा, रोजगारी, राजनीतिको बारेमा जति आधुनिक सोचाइ हाम्रा युवामा छ त्यो हाम्रो परम्परागत बुढेसकाल लागेका नेता र पार्टीमा छैन तर युवा जति देश छाड्ने वा भोटै हाल्न नपाउने भएसी देश"
positive, यो आधुनिक काल हो र तपाईं अहिले आधुनिक कालको विशेष कलाकारिता हेर्दै हुनुहुन्छ  😂
negative,लाज भन्ने चीज पनि त हुनुपर्ने नि अलिअलि ;)) उद्घाटन गर्न जाने कस्ता 
negative,महानगर प्रमुख महर्जन अस्पताल भर्ना
negative, आफ्नो गल्ती स्वीकार गर्न नसक्नु नै आज  मान्छेको प्रमुख कमजोरी हो भने  अरुको गल्ती लाई केलाएर बस्नु सहायक कमजोरी बनेको छ …
negative," अभाव,मेहनत र सेवाको कस्तो तादम्यता हुन्छकिसानको शरीरको कपडा शरीरमै फाट्छ अनि जिवन चल्ने अन्न फल्छ फेरी आधुनिक युगका महामा…"
negative, ✍️✍️अपराधी सदा स्वतन्त्र हुन्छ कानून यस्तै छ कठघराले निर्दोषलाई थुन्छ कानून यस्तै छ पीडितलाई  न्याय  मिल्दैन कदापी…
negative, मन बिक्छ सहरमा तन बिक्छ शहरमामुटुको कुरै छोड धड्कन बिक्छ शहरमाछन सबै शिक्षित आधुनिक भनौदा हरुतर पनि कलिलो यौवन बि…
positive,नियमित सुन्ने एक लाेकप्रिय कार्यक्रम जसकाे कारणले मैले पनि मुक्तक काेर्न लागे 
positive, टुइट पढ्नलाइ फलो गर्नु पर्ने  😜😜😜 …
positive,"कमल थापा दाइको प्रचार बिभाग प्रमुख एवं प्रबक्ता खानलाई किन बैकल्पिक - बैकल्पिक भन्दै टाउको दुखाउनुपार्टी भन्या पनि आ-आफ्नो बिश्वाशको संगठन त हो,मनमा जे छ खुलम खुल्ला त्यही भनेर वकालत गरौं, राजतन्त्र छैन राजकाज को मुद्दा लाग्दैन"
positive,”भूमाफियालाई अख्तियारले तह लगाउँछ प्रमुख आयुक्त घिमिरे ”
negative," पाेख्न कहाँ सकिन्छ र मनका सबै भावनाहरू, जवाफ बिहीन हुने गर्छन्देखिएका कतिपय सपनाहरू😐️😔😔"
negative,झुण्डिएर मर्ने त उनिहरूलाई बनाउनु…
neutral,त्यसपछि कार्यालय सुनसान 
negative," आफ्नो आमा, दिदीबहिनी अनि भाउजुबाहेक अरु सबै महिला चरित्रहिन देख्ने तिम्रो नजरमा दोष छ साथी "
positive,मर्नै हुन्न
neutral," बिना कारण लापत्त भएर फर्केको श्रीमान् लाई,श्रीमती ले सजिलै माफी दिन्छन् तर यहि काम श्रीमती ले गरुन् त के"
neutral,प्रमुख पदका आकांक्षी
negative,- गाउमा बादर आतंक - देशमा  नेता आतंक 😂😂
positive,दुबैले यक अर्कालाई सम्मान गर्नु पर्छ 
neutral,प्रेम विवाहमा धोका खाएपछि न्याय खोज्दै गङ्गा
positive," जसले दर्शन बुझेको छ , उ कुनै पनि हालतमा सानो बहकाइले पथभ्रष्ट हुन सक्दैन "
neutral, कस्तो बजेटले पूरा गर्छ समृद्धि सपना 
positive," सोच बदल्नुस खुसी आफै मिल्छ , स्वाभाव बदल्नुस इज्जत आफै पाइन्छ "
neutral,के सावित्रा र अनिता रहेको सेथुले भारतीय महिला लिगको उपाधि जित्ला 
neutral, त्यो गित र त्यो दिन कहाँ बिर्सन सकिन्छ र 
negative,श्रीमतीसँगको डिभोर्स प्रक्रियाले हत्याकाण्ड 
neutral,सुत्केरी भत्ता बर्ष दिनपछि पाउँछन डोटीका सुत्केरी महिला  
positive, अठारघन्टा लामो नियतबसको अँध्यारो प्रताडनाबाट देशलाई मुक्त गर्ने कुलमान हुन् 
neutral,साँझ ७ बजे देखि राति १:३० सम्म नौबिसे ट्राफिक जाम मा
neutral," होटलमा छापा मारेर महिला यति, पुरुष उति जना पक्राउ भनेर समाचार छाप्दा महिलाहरु मात्रको तस्विर किन छापिन्छ"
neutral," माया उमेर सङ्ग होइन कसैको मन सङ्ग हुन्छ ,बिश्वास मान्छे सङ्ग होइन उस्को इमान सङ्ग हुन्छ ,साथी जस्तो सुखै होस माया साथी सङ्ग…"
negative,डोनेसन पचायो 
negative,"मान्छे जतिसुकै ईमान्दार होस,त्यो ईमानदारितामा अर्को बेइमानी मान्छे खोट लगाउन तयार हुन्छकुलमान घिसिङको ईमान्दारितामा निलो झिँगा मिसाउन खोज्ने अमनलाल मोदी "
positive,"सधै राम्रो काम गर्दै जानुस् ,साथ दिनेवालाको कमी भएनीइज्जत गर्नेहरुको कमी हुने छैन😍"
negative, सम्झिदा मन भक्कानो छुटेर आउँछ बलात्कारी खुले मान निर्धक का साथ हिडिरहेको छ आज ३०० दिन सम्म एउटा अन्याय मा परेका बा आमा ले न्याय को न पनि पाको छैनन्् यहाँ कानुन सायद दैव ले नि जानेका छैनन्् जस्तो लागि रहेको छ
positive, एउटा सफल पुरूष उ हो जसले श्रीमतीले गर्ने खर्च भन्दा बढी कमाउछ र सफल महिला उ हो जसले यस्तै श्रिमान पाउछिन् 
positive, जितन त जित्दैन तर पनि सपोर्ट चाहिँ गरिन्छ 
positive,सबैको आ- आफ्नो ठाउँमा इज्जत हुन्छ
neutral,नेवार महिला सांस्कृतिक र मनोवैज्ञानिक छाउगोठमा 
negative,"नारीले गर्भमा नौ महिना राखेर,मृत्युसँग पौठाजोरी गर्दै जन्माएर रातदिन नभनी सक्षम पुरुष बनाउछिनत्यही पुरुष भन्छ नारी कमजोर,बुद्धिहिन हुन्छन"
neutral,के भारतिय महिला चाहिँ स्वदेशी हुन
neutral,ल है सुनुम नारि महिला र पुरुष र शाकाहारिको वकालत गर्ने हरु
negative, संसदमा हंगामा भएछप्रधानमन्त्री पनि गैरजिम्मेवार प्रमुख प्रतिपक्ष पनि त्यति जिम्मेवार देखिएनप्रधानमन्त्रीले बोल्दा केही…
negative,जनताको नि समर्थन छैन सरकारलाइ तर पनि सरकारको…
negative, बजार जान पनी श्रीमतीको पर्मिसन लिन पर्ने दिन  आयो भने मेरो नामको इज्जत जान्छभनेरै बिहे नगरेको मैले 😂
negative,"एभिन्युज टेलिभिजनकाे बिरगन्जस्थित कार्यलय ताेडफाेड भएको छयसकाे प्रमुख  कारण पत्रकार सुशील पान्डे हुन सक्छनपत्रकारले अतिथिलाइ प्रस्न सोध्दा धेरै कुरामा ख्याल गर्नुपर्ने,अतिथिले नि उत्तर नबङ्गाउन पर्नी,"
negative, मिडियासंग सरकार किन डरायो
negative, जब मान्छेले आफु उभिएको धरातल र आफु माथिको आकाश बिर्सनथल्छ तब उस्को पतन सुरु हुन्छ 
negative,राज्यलाई हेल्मेट आयातले थपिने व्यापार घाटाको लेखाजोखा अझै नहेरिएको पाटो रह्यो
positive," "" चुनौतीहरुले नै जिन्दगीलाई रोमान्चक   बनाउछ र यसैमा तपाइको जिन्दगीको          महत्व निर्माण हुन्छ """
negative,कल्पना पनि गर्न हुन्न
neutral, डियर कुलमान
negative,"पाँचथरमा सामूहिक हत्या :मृत्यु हुनेमा सात महिला, दुई पुरुष हत्याराहरुलाई अबिलम्ब पक्राउ गरि झुण्ड्याएर मार "
positive, म टुइटरमा नयाँ छु फलो गरेर सहयोग गरिदिनुस फलो ब्याक पक्कालौ त सहयोग गर्दिनुपर्यो …
neutral, मान्छे चै पुरुष राशि चै कन्या कस्तो विबादास्पद कुरो 😉😉😂
negative,विकले बजारमा आएका आधुनिक सामग्रीका कारणले आफ्नो पेसा संकटमा पर्दै आएको बताए
positive, सोच बदल्नु खुसी आफै मिल्छस्वभाव बदल्नु इज्जत आफै मिल्छकसैको पाउमा पर्न जरुरी छैनबाटो सहि रोज्नु गन्तब्य आफै मिल्छ…
neutral,बुद्ध जयन्तीका अवसरमा विशेष समारोह आयोजना गरिने परदशन५ बदधजयनतपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
negative,जनताको नि समर्थन छैन सरकारलाइ तर पनि सरकारको…
positive,"मेरोसरकार को लहड/रहर हो पानीजहाज चलाउने५० वर्ष अगाडी तत्कालिन राजालाई पनि लहड भएर कम्पनी समेत खडा गरेको थियोस्वच्छ हावा, पानी, खाना आदि सरकारको प्राथमिकताका पर्दैनपानीजहाज पनि चाहिन्छ, तर पहिले स्वच्छ हावा, पानी, खाना आदि सुनिश्चित गरे हुन्थ्यो"
neutral,सन् १९५९ मा भएको पहिलो आम निर्वाचनमा भोट हाल्नका लागि त्योदमा लाइन बस्दै महिला 
neutral, शहरा आज घरहरुको 🏘️ सम्मेलन छ 
negative," धादिङमा बोल्दै प्रधानमन्त्री ओलीले प्रदेश सरकारहरुलाई सचेत गराउँदै भने - प्रदेश र स्थानीय सरकारहरु स्वतन्त्र होइनन्, केन्द्र सर…"
positive,"रबिन्द्र दाजु भन्नुहुन्थ्योम हारेको छैन,म थाकेको छैनमेरो यो विश्वास हो"
neutral,चन्द्रमामा पहिलोपल्ट अमेरिकी महिला अन्तरिक्ष यात्री उतार्ने नासाको घोषणा
negative," चुनाव हो र, गाउँ गाउँमा सिंहदरवार भन्नलाईएक मात्र केन्द्र सरकारको असली परमादेशभ्रम पालेर बस्छन् मान्छेहरु"
positive," समृद्ध नेपाल, सुखी नेपालीको राष्ट्रिय आकांक्षा पूरा गर्ने प्रमुख आधार हरेक नागरिकका लागि सूचना प्रविधिमा पहुँच सुनिश्चित ग…"
neutral, संविधानले यसै भन्छ त
positive,सुसुचितगर्ने मुख भन्दा जनसेवागर्ने हात कैयौगुणा महान हुन्”चुम्दछ ईश्वर काम सुनौला गरिरहेका हात”😀🙏
neutral,कतिपय जटिल प्रकृतिका हुन्छन् तर सबैभन्दा चुनौतीमा रहेको वैदेशिक रोजगारीसँग सम्बन्धित निःसन्तान समस्या र यसको उपचार 
negative," आजै, त्यही भिडको कारणले दुईजना मरेको समाचार आइसक्यो त एकजना भारतीय महिला र अर्को एक विदेशी "
positive,वढे नेता बोली फेर्छन 
neutral,समाज बदल्न चाहनेले सबैभन्दा पहिले आफू बदलिनु जरुरी छ 
neutral,सरोकार राख्ने संसारको हो संसारका गतिविधिहरूको हो 
negative,खासमा महिलाको शत्रु महिला नै हुने रैछन् के
negative,  डरले नलेको होलानी भाडा 😀
negative, बाबुराम भट्टराई उवाच:-काङ्ग्रेसलाई अब म्युजियममा राख्नुपर्छकाङ्ग्रेसको भरमा मुस्किलले एक सिट जितेर आफ्नो इज्जत राखेका भट्…
negative,"जो आपत्तीको सामना गर्ने ढृण राख्दैन, उस्ले उन्नती नचिताए पनी हुन्छ""  शुभप्रभात 🙏🍵😊😂😂"
positive, अठारघन्टा लामो नियतबसको अँध्यारो प्रताडनाबाट देशलाई मुक्त गर्ने कुलमान हुन् 
positive, राम्री केटि  देखेसि  दिने गर्नुस  त नेपाल विद्युत प्राधिकरणले दिई हाल्छ नि 😍
negative, धरौटी रकम शुद्द हो भन्ने के ग्यारेन्टी  अनि भ्रष्ट हो भनिसकेपछि पनि धरौटीमा छाड्नेभए पक्रेको किन 
negative,  नेपालीको धर्म संस्कृति मासेर देशलाई इसाईकर्ण गर्न र देशको साधनस्राेत नस्ट गर्न कंग्रेस माओवादी दुबै मिलेर र…
neutral, गुमसुम छु 
positive,"जो पुरुष आफ्नो शक्तिको दुरुपयोग गर्दैनन्, महिलामाथि यौन हिंसा गर्दैनन्, उसले यो आन्दोलनबारे नराम्रो धारणा बनाएकै छैन"
positive,जे भन्दा पनि हाम्ले पत्याउनै पर्ने 
neutral, मेडिसीटी अस्पतालले सार्वजनिक जग्गा मिचेर संरचना बनाएको बारे हामीले एकै दिन ४ वटा समाचार प्रकाशित गरेका छौं 
positive," ""आमा""         दुई अक्षरको एउटा शब्द जुन शब्दलाई म ""ईश्वर"" संग  तुलना गर्छु र          पाउछु ""आकाश"" बन्दा पनि फराकि…"
positive," नारि, पुरुष बराबर हो भन्दैमा केटिले ""जनै"" लगाएर हिड्न त मिल्दैन त हौ😋😋😋"
positive, एउटा सफल पुरूष उ हो जसले श्रीमतीले गर्ने खर्च भन्दा बढी कमाउछ र सफल महिला उ हो जसले यस्तै श्रिमान पाउछिन् 
negative,मेसिन बिग्रेकाले फोटोकपी गर्न पाइएन
negative,"संस्कार र मान्यताका नाममा समाजले अभ्यास गर्दै आएका कुरा महिला, पुरुष दुवैमा समान रूपले लागू नभएकाले नै हामी कुण्ठाग्रस्त कृत्रिम जीवन बाँच्न अभिशप्त छौँ "
positive,म सदैव उनको पक्षमा छु 
negative, जुन ५ मा हुने एक दिने सडक तमाशा त देखाउन आइपुग्छन होला नि बाताबरण मन्त्री ज्यु 
negative,मर्नै हुन्न
positive," कान्तिपुर टेलिभिजन हेर्दा यस्तो लाग्छ कि, अबबाट लिएर १० बर्ष अघि सम्मको आधुनिक प्रबिधिमा प्रवेश गरेको छ "
positive,अस्ट्रेलियामा जारी १८औं विश्व र्‍याफटिङ च्याम्पियनसिपअन्तर्गत शनिबार सम्पन्न पुरुष खुलातर्फको स्लालोम स्पर्धामा नेपाल १३औं भएको छ
neutral," ल ल, चिने, निलाे गलबन्दीवाला"
neutral,"“मलाई लाग्छ, सामाजिक न्यायबारे लेख्ने–बोल्ने जोसुकै (चाहे त्यो गैरदलित होस् वा दलित, महिला होस् वा पुरुष) ले आफ्नो व्यक्तिगत लोकेसनलाई ‘फोरग्राउन्ड’ गर्नु अति आवश्यक छ "
positive," बुद्धझै असल अनि परम ज्ञानी बन्नु छमाया~ममता, प्रेरणाको खानी बन्नु छअहिंसा र शान्तिको बाटो पहिल्याएर,सिद्दार्थ गौ…"
positive,म सदैव उनको पक्षमा छु 
neutral,राष्ट्रिय पुरुष फुटबल टोलीको घोषणा फटबल फटबलटल रषटरयफटबलटलपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
negative,"  तपाइले मेरो प्रश्न बुझ्नु भएन , जुन कम्युनिस्ट हरुको बारेमा  डोङ्ग पिट्दै हुनुहुन्छ नि के उनिहरु साच्…"
positive,नजीरयाेग्य र उदाहरणीय काम हुन सकाेस् 
negative,"त्यो पनि उहाँको हत्यारा पत्ता लगाउनु पर्छ भन्दै, ठुला ठुला भाषण गर्दै, फुलमाला पहिरिदै 🤦‍♂️"
neutral, नेपालका लागि अमेरिकी राजदूत र्‍यान्डी बेरी () ले नेपालीहरुसँग अन्तर्क्रिया गर्नका लागि &;राजदूतसँग गफगाफ&; कार्यक्रम…
positive,शुभ प्रभात शुभ दिन 🙏🙏
neutral,महिला मात्रले ताने रातो मच्छिन्द्रनाथ र मिननाथको रथ   
negative,यो तहको आर्थिक विस्तारको लक्ष्य प्राप्त गर्न अर्थतन्त्रका कर्ता (एक्टर) हरू उत्साही हुनुपर्नेमा उल्टै शिथिल देखिएका छन्
positive,आगामी चार वर्षभित्र दोहोरो अंकको आर्थिक वृद्धिदर हासिल गर्ने सरकारको घोषणा छ
negative,"ब्यापारमा मन्दी आएसी जस्ले जे भने पनि तेस्तै हो, जे हुनु भाई सक्यो मेरो सन्सार डुब्नु डुबी सक्यो"
positive,तिमीले भनेको सबै थोक मन पर्‍यो
negative,तिमीले भनेको केइ पनि मन परेन मलाई त
neutral,सरकारले विलासी तथा गुणस्तरहीन वस्तुको आयात नियन्त्रण गरे धेरै हदसम्म व्यापार घाटा न्यून हुने विश्लेषकको भनाइ छ
negative,चालु वर्षको पहिलो १० महिनामा कुल वैदेशिक व्यापार घाटा ११ खर्ब पुगेको छ
negative,मरी मेटेर काम गर्‍यो अन्तिममा केइ न केइ
negative,यो चाँही मलाई पट्टक्कै मन्पर्दैन
positive,यति साह्रो लोभी पनि हुनहुन्न
neutral,मेरो स्टाटसको ख्याल खासमा मैले नै राख्नुपर्छ
positive,आँखा लोभी मन पापी हुन पनि भएन नि
positive,बिकासको लागि स्वदेशमै बसेर आफ्नो ब्यापार गर्ने लाई मेरो हृदयबाट धन्यवाद
negative,ताइ न तुइ हात लाग्यो दुई
positive,नेपाली परिवर्तनकामी महिलाहरुको सशक्त संगठन अखिल नेपाल महिला संघको संयोजकको जिम्मेवारी क. अमृता थापा मगर र सह-संयोजकको जिम्मेवारी  क.सीता पौडेलले प्राप्त गर्नुभएकोमा हार्दिक हार्दिक वधाई तथा कार्यसफलताको शुभकामना
positive,म सदैव उनको पक्षमा छु 
neutral,खासमा एन्फा अध्यक्ष कर्माछिरिङ शेर्पाले वरिष्ठ उपाध्यक्ष पद पंकज नेम्वाङलाई दिएपछि एन्फाको किचलो सतहमा आएको हो भिडियो रिपोर्ट
positive,हैट
negative,"चीनसँगको हाम्रो प्रमुख अपेक्षा भनेको भारतको विकल्प मार्ग हो, तर विकल्प मार्ग भनेकै रेलमार्ग हो भनेर बुझ्नु अव्यवहारिक र गलत हुनेछ"
neutral,जीन्दगी ले दुईटा अप्सन मात्रै दिन्छ जस्तो लाग्छ कि आत्मा मारेर आफ्नो हैसीयेत र खुवी भन्दा धेरै कमाऊ कि ईमान्दार भयेर सीमित कमाई ले गुज़ारा गर 🤔🤔🤔
positive, एउटा सफल पुरूष उ हो जसले श्रीमतीले गर्ने खर्च भन्दा बढी कमाउछ र सफल महिला उ हो जसले यस्तै श्रिमान पाउछिन् 
positive,प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसले ढिलै भएपनी छाया  सरकार गठन गर्नु सराहनीय काम हो 
positive,  सलाम सलाम
negative,मलाई कति एनजियो/आइएनजियो ले काम छुटायो तर खान दिएन 
neutral,  तलाई नि जलाउनु पर्छ
negative, ठूला पार्टी र तिनका अधिकांश प्रमुख नेताहरूको धरातल नै भ्रष्ट आचरणबाट निर्माण भएको छ
neutral,हेनुस बा 
positive,अनि मात्र देशको उन्नती सुरु हुन्छ
neutral, पहिलो नै होत मेडम 
neutral," आफ़नो इतिहास र भूगोल लिएर आऊनेछू, आफनै पहाड़ र नदीहरू लिएर आऊनेछू "
neutral,नेपाल अन्तर्राष्ट्रिय जेम एण्ड ज्वेलरी एक्स्पोको उद्घाटन (फोटोफिचर) कपशरमओल जवलरएकसप नपलअनतररषटरयजमएणडजवलरपुरा समाचार पढ्न यहाँ क्लिक गर्नुस्:
positive,मर्नै हुन्न
negative,बैंकिङ क्षेत्रलाई करिअर बनाउने महिलाको संख्या विगतको तुलनामा बढे पनि नेतृत्व तहमा भने कम छ 
positive," आफ़नो इतिहास र भूगोल लिएर आऊनेछू, आफनै पहाड़ र नदीहरू लिएर आऊनेछू "
positive," प्रेम को पहिलो सर्त इज़्ज़त हो जस्ले इज़्ज़त गर्न जान्दैन नि,त्येस्ले कैले माया गर्न सक्दैन - "
negative,   को  सुनेर एकदम नरमाइलो लाग्यो😑😑बलात्कारको घटना त दिनचर्या जस्तै भथ्यो अब     ले नि स्थान पाएछ्😶हामी…
negative,"हरेक अपराधिक घट्नामा दोषी पुरुष हुन्छ, फोटोको दुरुपयोग गरेर महिलालाई सार्वजनिक गरिन्छ, जाठा पत्रकारहरु नै अपराधीलाइ प्रोत्साहन गर्छन, कानुनले लुकाऊछन, त्यसैले महिला पिडित त्यैमाथी समाजले बहिस्कार गर्छन "
positive," सोच बदल्नुस खुसी आफै मिल्छ , स्वाभाव बदल्नुस इज्जत आफै पाइन्छ "
positive,😂
neutral,'खाँटी कुरा'..मोदी देसा लोक सभा चुनावको मत गणना हुँदैछ 
negative, मन बिक्छ सहरमा तन बिक्छ शहरमामुटुको कुरै छोड धड्कन बिक्छ शहरमाछन सबै शिक्षित आधुनिक भनौदा हरुतर पनि कलिलो यौवन बि…
negative, ✍️✍️कठिन रहेछ  यहाँ कर्म घर  सम्हाल्न सकिन आमामन थामेर बसेकी छु इज्जत फाल्न सकिन आमातिमी  जस्तो नहुँदो  रहेछिन सा…
